Report_Date,Andaman and Nicobar Islands,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Cases being reassigned to states,Chandigarh,Chhattisgarh,Dadra and Nagar Haveli,Dadra and Nagar Haveli and Daman and Diu,Daman & Diu,Delhi,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Ladakh,Lakshadweep,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Telengana,Tripura,Unassigned,Uttar Pradesh,Uttarakhand,West Bengal
2021-02-05,6046,1121102,18636,256576,484106,0,43446,744602,0,7712,0,1174552,93355,581624,501566,102038,179915,239734,1564132,1606819,14086,2923,575706,4665754,31905,17108,6299,14134,454607,60001,377990,615653,8211,1186344,450790,0,35589,0,1282504,186014,845878
2021-02-06,7018,1704388,27642,415898,707935,0,60154,973349,0,10300,0,1426863,156569,810730,757868,191251,292360,338383,2618735,2546339,18750,8166,781108,5761015,51549,36065,12634,21854,773732,105432,569756,940960,15626,2123029,580844,0,52545,0,1692709,330475,1385801
2021-02-13,5007,888760,16832,217285,261646,0,21203,308701,0,3398,0,636670,54152,264718,268887,58142,125208,119242,944437,994052,9763,188,257229,2056575,29166,13932,4392,12176,336042,39416,175804,318710,6116,844173,0,296428,33353,0,602001,96722,572220
2021-02-14,5009,888814,16832,217288,261690,0,21220,308930,0,3400,0,636796,54193,264997,268969,58201,125268,119283,944856,999523,9765,224,257423,2060186,29183,13937,4392,12183,336101,39440,176064,318820,6116,844650,0,296574,33353,0,602089,96766,572405
2021-02-15,5009,888869,16832,217293,261741,0,21238,309099,0,3400,0,636946,54235,265244,269046,58222,125341,119316,945270,1004135,9767,233,257646,2064278,29196,13942,4392,12189,336174,39448,176296,318923,6118,845120,0,296673,33353,0,602190,96820,572595
2021-02-16,5009,888899,16833,217304,261785,0,21264,309373,0,3400,0,637087,54275,265493,269154,58243,125405,119354,945638,1007019,9773,234,257849,2067643,29204,13942,4395,12189,336262,39468,176520,319005,6118,845575,0,296802,33353,0,602248,96867,572728
2021-02-17,5013,888959,16833,217309,261841,0,21293,309623,0,3400,0,637181,54323,265756,269240,58262,125463,119394,946076,1011956,9779,251,258082,2071306,29213,13944,4396,12190,336322,39488,176767,319065,6121,846026,0,296950,33355,0,602344,96920,572879
2021-02-18,5014,889010,16833,217330,261879,0,21322,309934,0,3402,0,637315,54369,266034,269322,58296,125547,119439,946454,1016848,9782,261,258333,2076093,29223,13945,4399,12190,336397,39506,171379,319166,6121,846480,0,297113,33357,0,602410,96964,573012
2021-02-19,5014,889077,16836,217344,261942,0,21352,310210,0,3402,0,637445,54421,266297,269405,58312,125634,119477,946860,1021432,9783,263,258574,2081520,29225,13946,4405,12191,336460,39526,177376,319270,6126,846937,0,297278,33366,0,602490,97005,573193
2021-02-20,5014,889156,16836,217367,262009,0,21371,310469,0,3402,0,637603,54466,266563,269498,58344,125715,119528,947246,1025937,9785,272,258871,2087632,29230,13951,4407,12191,336513,39540,177759,319363,6127,847385,0,297435,33392,0,602592,97031,573387
2021-02-21,5014,889210,16836,217383,262066,0,21397,310732,0,3402,0,637755,54523,266821,269609,58366,125783,119565,947736,1030587,9786,277,259128,2093913,29233,13952,4409,12191,336578,39569,178111,319461,6128,847823,0,297598,33393,0,602705,97031,573580
2021-02-22,5014,889298,16836,217392,262160,0,21425,310885,0,3402,0,637900,54562,267104,269730,58385,125867,119596,948149,1034657,9786,280,259427,2100884,29237,13952,4409,12192,336636,39592,178459,319543,6132,848275,0,297712,33394,0,602785,97031,573762
2021-02-23,5015,889339,16836,217406,262244,0,21463,311159,0,3402,0,638028,54591,267419,269836,58403,125925,119637,948466,1036869,9787,295,259721,2106094,29240,13954,4410,12192,336705,39600,178847,319626,6132,848724,0,297861,33398,0,602869,97031,573910
2021-02-24,5016,889409,16836,217427,262303,0,21500,311433,0,3402,0,638173,54648,267767,269967,58423,126019,119687,948849,1040903,9796,316,259969,2112312,29243,13955,4413,12192,336767,39628,179261,319702,6132,849166,0,310529,33400,0,602975,97031,574099
2021-02-25,5016,889503,16836,217454,262357,0,21541,311680,0,3404,0,638373,54700,268147,270097,58457,126093,119719,949183,1045009,9807,322,260313,2121119,29250,13958,4413,12192,336835,39656,179819,319801,6132,849629,0,298264,33400,0,603103,97031,574301
2021-02-26,5016,889585,16836,217484,262418,0,21590,311900,0,3405,0,638593,54771,268571,270263,58499,126201,119795,949636,1048686,9814,331,260681,2129821,29253,13961,4419,12198,336924,39677,180382,319929,6133,850096,0,298453,33407,0,603232,97031,574500
2021-02-27,5017,889681,16836,217518,262464,0,21659,312179,0,3406,0,638849,54871,269031,270411,58543,126286,119863,950207,1052357,9816,333,261013,2138154,29260,13961,4422,12198,337018,39697,181004,320078,6135,850577,0,298631,33407,0,603350,97031,574716
2021-02-28,5018,889799,16836,217527,262509,0,21719,312419,0,3406,0,639092,54932,269482,270610,58598,126383,119905,950730,1056149,9818,359,261403,2146777,29271,13961,4423,12199,337104,39717,181597,320180,6137,851063,0,298807,33417,0,603427,97031,574926
2021-03-01,4947,882850,16727,216289,252584,0,19865,281654,0,3378,0,626448,51230,246513,262850,55619,121471,115392,921128,771252,9550,0,243302,1938854,28243,13448,4223,11929,330117,38174,167012,309319,5911,819845,0,287502,33282,0,587434,91544,554079
2021-03-02,4994,888004,16829,217161,259781,0,20979,306019,0,3398,0,635331,53575,262123,268067,57587,124594,118793,940170,938353,9726,119,255431,2030274,29077,13768,4376,12101,335211,39123,173674,317674,6096,839352,0,294924,33351,0,600642,96227,570380
2021-03-03,5020,890080,16838,217585,262597,0,21906,313032,0,3408,0,628770,55073,270770,271125,58800,126589,120037,952037,1064279,9819,407,262433,2169330,29282,13966,4427,12200,337351,39763,183538,320557,6147,852478,0,299254,33420,0,603711,97089,575487
2021-03-04,5084,904548,16846,218533,266677,0,27543,357978,0,3703,0,668814,58584,312748,294270,64420,131938,125585,1006229,1129890,10189,733,300834,2904076,29406,14082,4487,12361,341772,41941,245768,335921,6245,892780,0,310819,33523,0,622736,101275,589922
2021-03-05,6084,1145022,18738,258961,497640,0,44306,756427,0,7871,0,1194946,95385,594602,514888,104491,183486,244472,1601865,1638778,14226,3010,588368,4722401,32161,17429,6358,14350,462622,61361,385270,633951,8441,1207112,456485,0,35723,0,1313361,191620,863393
2021-03-06,7043,1717156,28018,420076,709093,0,60288,975141,0,10331,0,1427439,157275,812063,759039,192142,294078,338915,2635122,2566000,18841,8335,782099,5776184,52278,36597,12859,22072,782131,106299,571970,942236,15876,2148346,583228,0,53222,0,1693992,331478,1394724
2021-03-13,5029,891388,16840,217766,262937,0,22832,316311,0,3431,0,642870,55758,276622,274273,59527,127436,120524,958417,1087443,9846,587,267176,2282191,29310,13986,4435,12221,338056,39984,194753,322518,6183,858272,0,300933,33427,0,604958,97700,577788
2021-03-14,5030,891563,16840,217780,262974,0,22976,316854,0,3435,0,643289,55851,277397,274697,59597,127535,120567,959338,1089478,9847,603,267851,2297793,29311,13992,4436,12225,338121,40015,196263,322719,6184,858967,0,301161,33429,0,605112,97754,578064
2021-03-15,5031,891861,16840,217797,263025,0,23096,317329,0,3438,0,643696,55917,278207,275137,59675,127640,120628,960272,1091270,9847,604,268594,2314413,29313,13997,4437,12225,338192,40030,197755,322969,6184,859726,0,301318,33433,0,605290,97806,578347
2021-03-16,5031,892008,16840,217817,263051,0,23244,317974,0,3440,0,644064,56006,279097,275557,59750,127734,120695,961204,1092324,9852,606,269391,2329464,29313,13997,4439,12225,338258,40044,199573,323220,6184,860562,0,301522,33440,0,605441,97866,578598
2021-03-17,5032,892269,16841,217839,263100,0,23391,318830,0,3445,0,644489,56100,280051,276080,59869,127831,120771,962339,1094294,9863,625,270208,2347328,29315,14000,4442,12225,338323,40068,201036,323461,6191,861429,0,301769,33441,0,605655,97931,578853
2021-03-18,5035,892522,16841,217872,263158,0,23592,319717,0,3445,0,645025,56173,281173,276635,60036,127957,120853,963614,1096392,9865,639,271040,2370507,29323,14002,4445,12225,338405,40120,203049,323774,6194,862374,0,302047,33444,0,605915,98041,579156
2021-03-19,5036,892740,16842,217905,263265,0,23803,320783,0,3454,0,645632,56271,282449,277268,60207,128097,120950,965102,1098291,9876,644,271957,2396340,29325,14005,4445,12225,338489,40201,205418,324101,6196,863363,0,302360,33454,0,606229,98129,579479
2021-03-20,5038,892986,16842,217924,263355,0,24017,321880,0,3464,0,646348,56371,283864,278140,60389,128249,121055,966689,1100275,9881,647,273097,2422021,29326,14008,4446,12225,338599,40262,207888,324503,6199,864450,0,302724,33459,0,606609,98228,579826
2021-03-21,5038,893366,16842,217951,263443,0,24220,323153,0,3471,0,647161,56525,285429,278961,60537,128389,121178,968487,1102353,9906,648,274405,2449147,29332,14012,4447,12225,338719,40322,210466,324948,6204,865693,0,303118,33464,0,607050,98311,580209
2021-03-22,5039,893734,16842,217976,263569,0,24459,324153,0,3481,0,647984,56623,287009,279828,60678,128547,121261,970202,1104228,9908,666,275727,2479682,29335,14016,4448,12225,338817,40386,213110,325424,6206,866982,0,303455,33464,0,607538,98448,580631
2021-03-23,5039,894044,16842,218006,263659,0,24667,325678,0,3485,0,648872,56708,288649,280693,60878,128679,121371,971647,1105467,9920,691,277075,2504327,29339,14016,4451,12225,338963,40433,215409,326026,6206,868367,0,303867,33470,0,608076,98552,580999
2021-03-24,5039,894536,16842,218058,263770,0,24881,327588,0,3495,0,649973,56841,290379,281588,61035,128836,121501,973657,1107452,9929,697,278577,2533026,29352,14017,4452,12225,339076,40520,217663,326506,6208,869804,0,304298,33479,0,608709,98646,581403
2021-03-25,5041,895121,16842,218099,263940,0,25130,329694,0,3510,0,651227,56981,292169,282569,61301,129031,121695,975955,1109908,9942,697,280289,2564881,29362,14019,4454,12226,339246,40645,220276,327175,6210,871440,0,304791,33480,0,609443,98880,581865
2021-03-26,5042,895879,16842,218139,264198,0,25356,332113,0,3536,0,652742,57170,294130,283622,61616,129203,121973,978478,1111897,9948,708,282174,2600833,29367,14022,4460,12229,339460,40740,222937,327890,6212,873219,0,305309,33482,0,610273,99072,582381
2021-03-27,5043,896863,16843,218176,264409,0,25604,334778,0,3554,0,654276,57283,296320,284944,61967,129413,122281,981044,1113722,9965,714,284265,2637735,29373,14029,4463,12229,339694,40836,226059,328743,6215,875190,0,305804,33490,0,611301,99258,583027
2021-03-28,5044,897810,16845,218222,264604,0,25898,337940,0,3580,0,655834,57453,298596,286327,62383,129684,122621,983930,1115777,9974,714,286407,2673461,29376,14031,4465,12229,339904,40964,228864,329595,6226,877279,0,306339,33491,0,612403,99515,583839
2021-03-29,5046,898815,16845,218270,264955,0,26194,340093,0,3607,0,657715,57584,300866,287719,62660,129993,122935,987012,1117993,9974,715,288683,2713875,29385,14032,4465,12230,340194,41101,231734,330676,6227,879473,0,306742,33491,0,613798,99881,584666
2021-03-30,5052,899812,16845,218310,265194,0,26468,341516,0,3623,0,659616,57712,303118,288714,62981,130228,123090,989804,1119542,10007,715,291006,2745518,29391,14034,4468,12233,340402,41226,234602,331578,6227,881752,0,307205,33493,0,615078,99990,585305
2021-03-31,5081,900805,16845,218363,265268,0,26733,344624,0,3642,0,660611,57839,305338,289694,63320,130587,123508,992779,1121931,10119,718,293179,2773436,29393,14056,4473,12233,340620,41341,236790,332243,6233,884094,0,307889,33503,0,615996,100118,585933
2021-04-01,4948,883082,16732,216304,252857,0,19881,282368,0,3379,0,626872,51295,247228,263068,55686,121653,115529,921938,775852,9556,0,244026,1942136,28281,13460,4223,11930,330309,38224,167219,309821,5920,820712,0,287740,33283,0,588171,91811,554975
2021-04-02,4994,888099,16829,217175,259858,0,21015,306370,0,3398,0,635481,53638,262406,268136,57646,124659,118839,940596,944709,9735,122,255689,2033266,29086,13774,4376,12117,335282,39146,173861,317766,6098,839866,0,295101,33351,0,600837,96281,570581
2021-04-03,5022,890215,16838,217593,262628,0,21962,313299,0,3408,0,639921,55143,271245,271365,58877,126693,120068,952565,1067044,9821,414,262850,2179185,29283,13966,4427,12205,337448,39777,184310,320772,6150,852967,0,299406,33422,0,603788,97134,575712
2021-04-04,5098,905946,16849,218601,267513,0,27853,363796,0,3719,0,672381,58803,315563,296229,64838,132439,126458,1010602,1132431,10226,740,303673,2953523,29415,14106,4490,12362,342224,42132,248454,337596,6251,896226,0,312140,33537,0,625923,101714,591658
2021-04-05,6150,1163994,18958,263450,509047,0,45196,771701,0,8008,0,1212989,98088,607422,527773,107121,187219,251371,1646303,1664789,14315,3080,600430,4771022,32523,17675,6556,14451,471536,62160,392042,651247,8468,1228064,463361,0,35994,0,1342413,197023,880894
2021-04-06,7070,1728577,28382,424385,710199,0,60399,976760,10345,0,0,1427926,157847,813270,760019,193137,295879,339930,2653446,2584853,18954,8479,782945,5791413,52899,37149,13064,22240,790970,107114,574114,943494,16165,2172751,585489,0,53872,0,1695212,332067,1403535
2021-04-13,5201,928664,16888,220893,286228,0,31167,456873,0,4209,0,736688,62780,353516,320699,70775,139381,141750,1074869,1172882,10905,813,344634,3458996,29514,14300,4655,12416,351302,44555,276223,369564,6410,940145,0,332581,33805,0,705619,110146,619407
2021-04-14,5209,932892,16902,221483,290385,0,31564,471994,0,4307,0,750156,63342,360206,324544,71394,140650,144594,1083647,1180397,11070,833,353632,3519208,29540,14387,4685,12427,353086,44973,279203,375092,6435,947129,0,334738,33844,0,723582,112071,624224
2021-04-15,5247,937049,16912,221868,295171,0,31985,486244,0,4420,0,767438,63815,367616,329942,72319,141736,147792,1094912,1189175,11278,845,363352,3578160,29561,14485,4722,12440,355353,45449,282505,381292,6456,954948,0,338045,33871,0,744021,114024,630116
2021-04-16,5262,942135,16920,222367,301304,0,32397,501500,0,4523,0,784137,64572,375768,335800,73353,142877,151272,1109650,1197301,11464,901,373518,3639855,29579,14582,4747,12482,358342,45862,286816,387950,6497,962935,0,341885,33875,0,766360,116244,636885
2021-04-17,5289,948231,16948,222940,307557,0,32878,516412,0,4681,0,803623,65499,384688,342077,74195,144021,155115,1124509,1207332,11709,945,384563,3703584,29610,14703,4809,12504,361450,46393,290707,395309,6519,971384,0,346331,33933,0,793720,118646,643795
2021-04-18,5331,955455,16967,223816,315427,0,33309,532495,0,4748,0,827998,66261,394229,349794,75587,145166,158953,1141998,1221167,12071,1051,395832,3770707,29649,14798,4859,12536,364594,47108,295138,404355,6591,980728,0,351424,34002,0,821054,121403,651508
2021-04-19,5390,962037,16987,224455,324117,0,33934,544840,0,4803,0,853460,67212,404569,356971,76375,146692,162945,1161065,1239424,12131,1165,408080,3839338,29721,14871,4904,12555,368258,47771,300038,414617,6696,991451,0,355433,34034,0,851620,124033,659927
2021-04-20,5421,968000,17052,225822,331604,0,34546,558674,0,5102,0,877146,68152,415972,363813,78070,148208,167235,1176850,1253068,12306,1282,420977,3898262,29775,14979,4995,12568,372703,48336,304660,426584,6705,1002392,0,361359,34094,0,879831,126193,668353
2021-04-21,5466,976987,17113,227473,342059,0,35148,574299,0,5422,0,905541,69312,428178,371624,79410,150238,172315,1198644,1272645,12556,1335,433704,3960359,29869,15116,5085,12650,377464,48974,309316,438785,6796,1013378,0,367901,34186,0,909405,129205,678172
2021-04-22,5490,986703,17186,229138,354281,0,35770,588818,0,5672,0,930179,70814,440731,381247,81102,152442,177356,1222202,1295059,12739,1526,446811,4027827,29961,15308,5158,12747,382315,49593,314269,453407,6846,1025059,0,373468,34262,0,942511,134012,688956
2021-04-23,5527,997462,17296,231069,365770,0,36404,605568,0,5910,0,956348,72224,453836,390989,82876,154407,184951,1247997,1322054,12937,1671,459195,4094840,30047,15488,5220,12800,388479,50580,319719,467875,6970,1037711,0,379494,34302,0,976765,138010,700904
2021-04-24,5569,1009228,17430,233453,378442,0,37232,622965,0,6142,0,980679,73644,467640,402843,84065,156344,190692,1274959,1350501,13089,1805,472785,4161676,30151,15631,5283,12889,394694,51372,326447,483273,7037,1051487,0,387106,34429,0,1013370,142349,713780
2021-04-25,5614,1020926,17546,235689,390801,0,37943,639696,0,6379,0,1004782,75184,481737,413334,86138,158374,195844,1304397,1377186,13237,1962,485703,4228836,30281,15786,5388,13003,401341,52271,332110,498628,7158,1066329,0,395232,34529,0,1051314,147433,728061
2021-04-26,5665,1033560,17607,237533,403596,0,38692,652362,0,6580,0,1027715,77477,496033,424319,87501,160755,201747,1339201,1405655,13357,2126,499304,4295027,30421,15994,5410,13183,407457,53279,339090,514437,7306,1081988,0,401783,34627,0,1086625,151801,743950
2021-04-27,5716,1043441,17775,240670,415397,0,39513,667446,0,6726,0,1047916,79798,510373,435823,89193,162890,207288,1368945,1427545,13502,2247,511990,4343727,30567,16124,5513,13238,414056,54026,345366,530875,7329,1097672,0,411905,34738,0,1120176,156859,759942
2021-04-28,5764,1054875,17898,243802,428001,0,40350,682339,0,6912,0,1072065,81908,524725,447754,91350,166054,213414,1400775,1460364,13642,2401,525407,4410085,30742,16271,5742,13445,420129,55047,351282,546964,7426,1113502,0,419966,34862,0,1153097,162562,776345
2021-04-29,5816,1069544,18062,246847,441375,0,41122,697902,0,7067,0,1098051,85009,538845,460198,93889,169077,221489,1439822,1495377,13758,2504,538165,4473394,31001,16430,5880,13569,428515,56305,358186,563577,7577,1130167,0,427960,35028,0,1182848,168616,793552
2021-04-30,5875,1084336,18256,249926,454464,0,41923,713706,0,7334,0,1122286,88028,553172,474145,96929,172551,227450,1474846,1533984,13866,2662,550927,4539553,31315,16617,6019,13750,435513,57427,364910,580846,7747,1148064,0,435606,35169,0,1217952,174867,810955
2021-05-01,4948,883210,16741,216340,253272,0,19936,283515,0,3379,0,627256,51335,247926,263312,55808,121786,115689,922538,778873,9561,0,244647,1947011,28332,13482,4234,11935,330492,38253,167441,310278,5921,821550,0,287993,33284,0,588882,92112,555572
2021-05-02,4994,888178,16829,217186,259936,0,21036,306743,0,3398,0,635639,53717,262681,268209,57693,124719,118897,941070,950811,9740,126,255855,2036002,29099,13794,4376,12121,335369,39185,174057,317905,6103,840360,0,295270,33352,0,600970,96384,570787
2021-05-03,5024,890317,16838,217613,262668,0,22040,313534,0,3408,0,640182,55212,271725,271659,58942,126772,120129,953136,1069660,9824,425,263290,2188183,29283,13966,4428,12210,337529,39794,185381,320928,6154,853449,0,299572,33424,0,603907,97234,575921
2021-05-04,5109,907676,16849,218670,268377,0,28194,369046,0,3744,0,676414,59068,318438,298133,65242,133012,127246,1015155,1135233,10255,741,306851,3010597,29423,14122,4491,12363,342695,42359,251460,339325,6257,899807,0,313237,33540,0,630059,102264,593615
2021-05-05,6181,1184028,19192,267925,523841,0,45976,787486,0,8174,0,1232942,100902,620472,543559,110945,191869,257345,1690934,1701979,14560,3249,612666,4822902,32956,18014,6794,14717,479752,63298,399556,668221,8698,1249292,469722,0,36234,0,1368183,204051,898533
2021-05-06,7088,1738990,28786,428933,711190,0,60487,978220,10377,0,0,1428449,158423,814390,760914,193924,297602,340408,2669514,2601082,19076,8568,783743,5805565,53690,37733,13300,22387,798699,107826,576119,944500,16518,2195402,587664,0,54580,0,1696325,332959,1411448
2021-05-13,6470,1344386,20854,310086,622433,0,52633,883210,0,9150,0,1361986,127639,714611,652742,145736,229407,301257,2053191,2010934,15807,4202,700202,5226710,37036,20985,8176,16890,565648,77031,467539,805658,10392,1468864,511711,0,39054,0,1563235,264683,1053117
2021-05-14,6510,1366785,21110,315554,630185,0,53393,892331,0,9257,0,1372475,130130,725353,665028,150673,233763,306248,2088488,2050889,15916,4395,708621,5269292,37596,21576,8377,17256,576297,78973,475949,821525,10623,1499485,516404,0,39606,0,1580980,271810,1073956
2021-05-15,6542,1388803,21373,319632,637679,0,54043,899925,0,9335,0,1380981,132585,735348,675636,153717,236790,310024,2130267,2085583,16156,4568,716708,5309215,38322,22203,8499,17531,588687,80947,483984,835814,10855,1531377,520709,0,40055,0,1596627,277585,1094802
2021-05-16,6568,1411320,21622,324979,645015,0,54703,907589,0,9447,0,1387411,134542,744409,685312,157862,240467,313181,2171931,2118263,16333,4650,724279,5344063,39052,22763,8680,17835,600492,82545,490755,849389,11070,1565035,525007,0,40816,0,1609140,283239,1114313
2021-05-17,6603,1435491,21802,328629,651909,0,55367,912477,0,9550,0,1393867,135856,752619,694427,160240,244608,315502,2203462,2147967,16452,4767,731385,5378452,39729,23332,8829,18076,612224,84506,497705,859669,11410,1598216,528823,0,41151,0,1619645,287286,1133430
2021-05-18,6638,1454052,22106,335023,657829,0,55987,919054,0,9599,0,1398391,137418,759754,701915,163786,247952,318009,2242065,2169369,16582,4986,737306,5405068,40059,23966,9068,18349,622981,85952,504586,871266,11480,1631291,532784,0,41897,0,1628990,291005,1152433
2021-05-19,6674,1475372,22462,340858,664115,0,56513,925531,0,9652,0,1402873,138776,766201,709689,166678,251919,320934,2272374,2200706,16784,5212,742718,5433506,40683,24872,9252,18714,633302,87749,511652,879664,11689,1664350,536766,0,42776,0,1637663,295790,1171861
2021-05-20,6709,1498532,22799,347001,670174,0,56927,931211,0,9748,0,1406719,139985,771447,716507,170074,255888,322828,2306655,2233468,16918,5466,747783,5467537,41265,25744,9444,18958,644401,89508,517954,889513,11955,1699225,540603,0,43496,0,1644849,300282,1190867
2021-05-21,6758,1521142,23159,353574,676045,0,57331,936423,0,9850,0,1409950,141567,776220,722964,172722,260057,324884,2335524,2263959,17025,5756,752735,5497448,41909,26927,9740,19284,655899,91465,523423,897193,12204,1734804,544263,0,44359,0,1651530,303940,1209958
2021-05-22,6789,1542079,23553,359640,681199,0,57737,941366,0,9880,0,1412959,143192,780471,728607,175384,263905,327035,2367742,2293632,17146,6101,757119,5527092,42565,27755,10024,19593,668422,93167,528676,903418,12521,1770988,547727,0,45223,0,1659212,307566,1229805
2021-05-23,6820,1562060,23867,365620,685574,0,58129,945694,0,9925,0,1415219,144839,784676,733628,177725,267313,329072,2398925,2322146,17277,6418,760963,5553225,43322,28878,10220,19845,679530,94612,533973,909521,12808,1806861,551035,0,46099,0,1665176,310469,1248668
2021-05-24,6844,1580827,24093,369183,689576,0,58489,949000,0,9987,0,1416868,146460,788470,738028,179034,270621,330417,2424904,2347966,17407,6611,764338,5579897,44089,29681,10333,20068,692382,96060,538994,916042,13132,1842344,553277,0,46525,0,1669891,313519,1267090
2021-05-25,6853,1593821,24573,375404,692420,0,58734,953209,0,10049,0,1418418,147861,791657,741785,180983,272858,331811,2450215,2365787,17532,6847,767274,5602019,44627,30492,10622,20259,703441,96982,543475,920456,13233,1877211,556320,0,47298,0,1673785,315590,1284973
2021-05-26,6878,1609105,25002,381171,695726,0,58992,956715,0,10092,0,1419986,149410,794912,744602,182982,275822,333058,2472973,2395590,17810,7111,769696,5626155,45451,31449,10937,20535,714380,98219,548231,923860,13511,1911496,560141,0,47965,0,1677508,318346,1301978
2021-05-27,6901,1627390,25376,386870,698329,0,59216,959544,0,10129,0,1421477,150897,797997,747740,184347,278859,334035,2499784,2424388,18045,7229,771878,5650907,46298,32295,11143,20795,726003,99540,552235,927746,13806,1945260,563903,0,48507,0,1680684,321337,1318203
2021-05-28,6917,1643557,25820,392574,700897,0,59416,962368,0,10152,0,1422549,152401,800866,750062,185819,281628,334730,2523998,2448554,18186,7364,773855,5672180,47111,33104,11382,21023,732739,100677,556089,931200,14214,1978621,567517,0,49290,0,1683865,323483,1331249
2021-05-29,6936,1657986,26317,398010,702682,0,59577,965208,0,10207,0,1423690,153456,803387,752069,187342,284431,335417,2546821,2470872,18310,7542,775709,5692920,47843,33835,11659,21215,739995,101900,559795,933848,14634,2009700,571044,0,49885,0,1686138,325425,1343442
2021-05-30,6964,1671742,26778,403623,704173,0,59740,967645,0,10214,0,1424646,154419,805617,753937,188604,286684,336240,2567449,2494385,18448,7631,777349,5713215,48850,34448,11988,21371,747143,102896,562831,936162,14907,2039716,574026,0,50739,0,1688152,327112,1354956
2021-05-31,6984,1685142,26950,406868,705648,0,59922,969300,0,10256,0,1425592,155064,807488,755389,189465,288940,336943,2587827,2514279,18497,7928,778825,5731815,49882,35190,12087,21563,756684,103826,565415,938460,15171,2068580,575827,0,51133,0,1690016,328338,1366240
2021-06-01,4949,883587,16744,216381,253695,0,20026,284536,0,3379,0,627698,51415,248581,263571,55910,121923,115840,923353,784488,9577,0,245318,1950171,28418,13506,4247,11937,330690,38300,167652,310675,5938,822370,0,288410,33286,0,589611,92366,556384
2021-06-02,4997,888275,16829,217193,260034,0,21060,307079,0,3398,0,635793,53773,262948,268293,57764,124785,118938,941500,956421,9743,141,256017,2038630,29110,13821,4381,12126,335466,39235,174256,318021,6105,840849,0,295431,33352,0,601128,96431,570981
2021-06-03,5024,890441,16839,217642,262706,0,22116,313808,0,3408,0,640494,55291,272240,271892,59014,126853,120173,953813,1072436,9826,468,263747,2198399,29286,13968,4428,12210,337620,39824,186189,321123,6157,853992,0,299742,33424,0,604034,97285,576176
2021-06-04,5116,909002,16851,218740,269312,0,28479,376348,0,3770,0,679962,59315,321598,300173,65809,133454,128332,1020434,1137590,10303,744,310249,3057885,29428,14126,4500,12365,343268,42539,254152,341754,6263,903479,0,314735,33554,0,634033,102811,595576
2021-06-05,6223,1206232,19412,272751,538677,0,46793,802643,0,8325,0,1253902,104398,633427,558975,114787,196585,263115,1741046,1743932,14811,3376,624985,4880542,33353,18283,6964,15004,489641,65117,407509,685036,8919,1272602,475748,0,36534,0,1399294,211834,916635
2021-06-06,7105,1749363,29113,432714,712197,0,60585,979576,0,10387,0,1428863,158990,815386,761637,194742,299050,340925,2683314,2618410,19147,8667,784461,5819224,54407,38230,13567,22696,806094,108439,577997,945442,16771,2216812,589734,0,55234,0,1697352,333578,1419130
2021-06-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01,4949,883876,16753,216424,254014,0,20104,285586,0,3379,0,628352,51507,249246,263887,56015,122049,116034,924137,790882,9589,0,246048,1954553,28484,13525,4256,11954,330921,38334,167910,311111,5951,823181,0,288789,33294,0,590339,92593,557252
2021-07-02,5000,888350,16830,217202,260095,0,21088,307339,0,3398,0,635916,53838,263200,268364,57851,124850,118979,942031,962363,9744,151,256214,2041398,29117,13845,4382,12148,335548,39270,174439,318118,6108,841326,0,295581,33352,0,601272,96478,571178
2021-07-03,5024,890556,16839,217649,262728,0,22238,314098,0,3409,0,640815,55361,272811,272215,59059,126932,120217,954393,1075227,9830,473,264214,2208586,29288,13970,4428,12211,337674,39843,187348,321356,6167,854554,0,299900,33424,0,604164,97363,576435
2021-07-04,5123,910943,16853,218832,270392,0,28798,386269,0,3788,0,685062,59702,324878,302272,66237,134015,129596,1026584,1141092,10353,751,313971,3113354,29435,14135,4508,12365,343856,42776,257057,343990,6286,907124,0,316649,33575,0,639928,103602,597634
2021-07-05,6255,1228186,19634,277687,553803,0,47552,816489,0,8502,0,1273035,108267,645972,573815,118729,201511,270089,1790104,1786396,14909,3528,637406,4942736,33733,18630,7147,15271,500162,66627,416350,702568,9183,1297500,481640,0,36849,0,1425916,220351,935066
2021-07-06,7119,1758339,29336,434942,713117,0,60659,980575,0,10394,0,1429244,159393,816234,762291,195099,300490,341218,2695523,2633082,19197,8737,785196,5831781,55230,38718,13679,22773,813096,109079,579560,946346,17111,2237233,591170,0,55469,0,1698389,334024,1426132
2021-08-01,4958,884171,16757,216481,254447,0,20147,286596,0,3379,0,628838,51626,249913,264161,56146,122176,116229,924898,795933,9600,0,246822,1958282,28531,13536,4259,11960,331151,38369,168187,311620,5965,823986,0,289135,33299,0,590844,92842,558173
